population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,34,2-4 years,494,Stroke,1,Number,2014,72.98051137335936,87.1971257496568,59.19099413243987
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,34,2-4 years,494,Stroke,1,Number,2014,59.87240809259569,72.98616392458395,49.831311749380255
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,37,20+ years,494,Stroke,1,Number,2014,214287.15139743066,228582.47745013784,198423.53447896012
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,37,20+ years,494,Stroke,1,Number,2014,252337.9389682398,275192.57197170774,218402.54303456942
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,39,0-14 years,494,Stroke,1,Number,2014,710.5160165145481,831.9295263937083,592.5340086336226
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,39,0-14 years,494,Stroke,1,Number,2014,574.4971154841709,702.236178483606,487.95044309182856
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,41,50-74 years,494,Stroke,1,Number,2014,86428.80216732796,91411.78860570554,81698.13146036163
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,41,50-74 years,494,Stroke,1,Number,2014,67295.4281923718,70998.79628611662,63463.97175708511
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,42,<28 days,494,Stroke,1,Number,2014,51.35730088899205,70.03942879684075,38.63269418750176
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,42,<28 days,494,Stroke,1,Number,2014,53.04647733519445,73.91985343467738,39.308189458298315
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,157,25+ years,494,Stroke,1,Number,2014,213583.09558399295,227818.91038900687,197778.7047232758
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,157,25+ years,494,Stroke,1,Number,2014,251770.73049259785,274555.8571429145,217872.68061163434
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,158,<20 years,494,Stroke,1,Number,2014,1217.483457835793,1406.3409404907607,1040.1942945180485
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,158,<20 years,494,Stroke,1,Number,2014,1035.8737058387942,1206.8495900565824,891.7000168801845
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,159,10-24 years,494,Stroke,1,Number,2014,1394.509287214306,1573.0285526231141,1229.7064901474344
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,159,10-24 years,494,Stroke,1,Number,2014,1183.701702975673,1346.77227568637,1044.980124543232
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,160,85+ years,494,Stroke,1,Number,2014,50985.350133360735,56263.16309884766,43627.69017076166
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,160,85+ years,494,Stroke,1,Number,2014,101965.04042639988,116199.37961304425,80224.99263025072
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,162,10-19 years,494,Stroke,1,Number,2014,690.4534737767004,790.6992347746337,605.1288386452414
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,162,10-19 years,494,Stroke,1,Number,2014,616.4932273337778,711.49840770493,535.144835670589
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,169,10-54 years,494,Stroke,1,Number,2014,24945.625884778932,26820.924357908854,23179.17308583655
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,169,10-54 years,494,Stroke,1,Number,2014,20711.7302555472,21946.637509151937,19392.64978322183
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,197,15-39 years,494,Stroke,1,Number,2014,5845.470768167875,6456.608810397608,5238.262936180622
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,197,15-39 years,494,Stroke,1,Number,2014,5068.676666788662,5595.707773477164,4549.474828953762
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,228,55+ years,494,Stroke,1,Number,2014,190031.97898642838,202843.21934536847,175517.88215163723
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,228,55+ years,494,Stroke,1,Number,2014,232242.70194002628,254133.8306514082,199236.1485224228
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,231,60+ years,494,Stroke,1,Number,2014,177008.9113501698,189347.13969359614,162827.18278242362
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,231,60+ years,494,Stroke,1,Number,2014,222673.20071176888,244230.13834953142,190198.12180060876
